Time;temp1;temp2;temp3;temp4;temp5;temp6;temp7;press_vide
2026-05-06 16:25:56.984289;24.835830688476562;24.835830688476562;24.74016761779785;24.747528076171875;24.581958770751953;24.769603729248047;24.42742919921875;
2026-05-06 16:25:58.785293;24.832149505615234;24.832149505615234;24.754886627197266;24.659223556518555;24.50469207763672;24.824792861938477;24.48997688293457;
2026-05-06 16:26:00.586863;24.828319549560547;24.828319549560547;24.957096099853516;24.901906967163086;24.87247085571289;25.13738250732422;24.63699722290039;
2026-05-06 16:26:02.387689;24.832304000854492;24.832304000854492;24.96843719482422;24.87277603149414;24.916927337646484;25.07145881652832;24.523242950439453;
2026-05-06 16:26:05.090560;24.81375503540039;24.81375503540039;24.920454025268555;25.030834197998047;25.093381881713867;25.21112060546875;24.637147903442383;
2026-05-06 16:26:06.891655;24.817434310913086;24.817434310913086;24.879981994628906;24.824792861938477;24.806396484375;24.927812576293945;24.379596710205078;
2026-05-06 16:26:08.692500;24.832304000854492;24.832304000854492;24.909568786621094;24.950040817260742;24.94636344909668;25.115612030029297;24.5637149810791;
2026-05-06 16:26:10.493248;24.85070037841797;24.85070037841797;24.9058895111084;25.034666061401367;24.854379653930664;25.001554489135742;24.4864501953125;
2026-05-06 16:26:12.294167;24.86555290222168;24.86555290222168;24.839797973632812;24.872909545898438;24.751493453979492;24.946495056152344;24.424036026000977;
2026-05-06 16:26:14.095249;24.85805892944336;24.85805892944336;24.916927337646484;24.96843719482422;25.034666061401367;25.104572296142578;24.655696868896484;
